geoid	detail	st_fip	cty_fip	trt_fip	state	county	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc
17031071400	Census Tract 714, Cook County, Illinois	17	031	071400	Illinois	Cook County	4579	0.7837955885564534	0.06005678095654073	0.06355099366673947	0.0576545097182791	0.03494212710198733	0	0	0	0.21620441144354663	0.023639896373056996	0.976360103626943	0.40240641711229946	0.3799465240641711	0.033689839572192515	0.15	0.03395721925133688	69415
17031071500	Census Tract 715, Cook County, Illinois	17	031	071500	Illinois	Cook County	5807	0.78939211296710865	0.027380747373859135	0.04993972791458585	0.09557430687101774	0.029963836748751506	0.007749268124677114	0	0	0.21060788703289135	0.02249134948096886	0.9775086505190311	0.35785685725709715	0.5503798480607757	0.00939624150339864	0.07896841263494603	0.003398640543782472	90160
17031071600	Census Tract 716, Cook County, Illinois	17	031	071600	Illinois	Cook County	1666	0.826530612244898	0.0702280912364946	0.02581032412965186	0.026410564225690276	0.04801920768307323	0.003001200480192077	0	0	0.173469387755102	0.061122244488977955	0.938877755511022	0.3354683746997598	0.5204163330664532	0.01200960768614892	0.09527622097678143	0.03682946357085659	128295
17031071700	Census Tract 717, Cook County, Illinois	17	031	071700	Illinois	Cook County	1819	0.6767454645409565	0.15448048378229798	0.06597031335898845	0.05937328202308961	0.026388125343595383	0.012644310060472787	0.0043980208905992305	0	0.3232545354590435	0.05151267375306623	0.9484873262469338	0.4065757818765036	0.404971932638332	0.01764234161988773	0.17000801924619086	8.01924619085792e-4	128750
17031071800	Census Tract 718, Cook County, Illinois	17	031	071800	Illinois	Cook County	2714	0.7092851879145173	0.17907148120854827	0.04384672070744289	0.039425202652910836	0.028371407516580693	0	0	0	0.29071481208548267	0.0649666059502125	0.9350333940497875	0.36266531027466936	0.4745676500508647	0.0076297049847405905	0.1342828077314344	0.02085452695829093	131979
17031080100	Census Tract 801, Cook County, Illinois	17	031	080100	Illinois	Cook County	7078	0.8621079400960724	0.03291890364509748	0.04831873410567957	0.024583215597626447	0.024583215597626447	0	0.007487990957897712	0	0.1378920599039276	0.038653637350705754	0.9613463626492943	0.4182716049382716	0.4034567901234568	0.019588477366255144	0.14831275720164608	0.010370370370370363	87099
17031080201	Census Tract 802.01, Cook County, Illinois	17	031	080201	Illinois	Cook County	3297	0.9111313315134971	0.05034880194115863	0.003942978465271459	0.02062481043372763	0	0.00272975432211101	0.011222323324234153	0	0.08886866848650288	0.05346187554776512	0.9465381244522348	0.34171839268213	0.3864750081672656	0.035609278013721005	0.20646847435478602	0.029728846782097418	73946
17031080202	Census Tract 802.02, Cook County, Illinois	17	031	080202	Illinois	Cook County	3664	0.863264192139738	0.018013100436681223	0.024836244541484715	0.08951965065502183	0.004366812227074236	0	0	0	0.13673580786026196	0.055762081784386616	0.9442379182156134	0.4495442708333333	0.4684244791666667	0.011067708333333334	0.0615234375	0.00944010416666663	83942
17031080300	Census Tract 803, Cook County, Illinois	17	031	080300	Illinois	Cook County	4733	0.7863934079864779	0.07754067187830128	0.04732727656877245	0.07056834988379464	0.009296429326008875	0.008873864356644834	0	0	0.21360659201352206	0.05414777273939717	0.9458522272606028	0.36395101171459	0.4725772097976571	0.03700745473908413	0.11608093716719915	0.010383386581469534	102240
17031080400	Census Tract 804, Cook County, Illinois	17	031	080400	Illinois	Cook County	5053	0.3394023352463883	0.5679794181674253	0.023550366119137148	0.023550366119137148	0.02889372649910944	0	0.016623787848802692	0	0.6605976647536117	0.16789215686274508	0.8321078431372549	0.19153365718251214	0.3160999306037474	0.023247744621790422	0.33691880638445526	0.13219986120749472	22995
17031081000	Census Tract 810, Cook County, Illinois	17	031	081000	Illinois	Cook County	7367	0.670150671915298	0.1023483100312203	0.07967965250441157	0.1297678838061626	0.01045201574589385	0.007601465997013709	0	0	0.329849328084702	0.052711168718945774	0.9472888312810542	0.2771910320548453	0.31480452103020196	0.0270520659625718	0.31869557161385953	0.0622568093385214	40041
17031081100	Census Tract 811, Cook County, Illinois	17	031	081100	Illinois	Cook County	3766	0.742963356346256	0.10355815188528943	0.07036643653744025	0.05151354221986192	0.031598513011152414	0	0	0	0.257036643653744	0.05484784147204529	0.9451521585279548	0.3012681719764924	0.43117847200742343	0.034952056913083826	0.20352613671512526	0.02907516238787511	57332
17031081201	Census Tract 812.01, Cook County, Illinois	17	031	081201	Illinois	Cook County	4392	0.7536429872495446	0.025500910746812388	0.08356102003642987	0.12750455373406194	0.007741347905282332	0.0020491803278688526	0	0	0.2463570127504554	0.04775687409551375	0.9522431259044862	0.43147362037598547	0.4426925409338993	0.017889630078835657	0.10248635536688902	0.00545785324439052	76103
17031081202	Census Tract 812.02, Cook County, Illinois	17	031	081202	Illinois	Cook County	3005	0.8675540765391015	0.007986688851913478	0.052246256239600664	0.0519134775374376	0.011980033277870216	0.008319467554076539	0	0	0.13244592346089845	0.053417576105686385	0.9465824238943136	0.36932241250930753	0.36113179448994787	0.04318689501116903	0.21295606850335072	0.013402829486224843	101317
17031081300	Census Tract 813, Cook County, Illinois	17	031	081300	Illinois	Cook County	5232	0.7406345565749235	0.034977064220183485	0.04625382262996942	0.17603211009174313	0.002102446483180428	0	0	0	0.2593654434250765	0.0736409608091024	0.9263590391908976	0.44355686356947654	0.3556863569476561	0.05486651250788312	0.14589026697498422	0	88750
17031081401	Census Tract 814.01, Cook County, Illinois	17	031	081401	Illinois	Cook County	2477	0.7048849414614453	0.13807024626564393	0.021800565199838515	0.08235769075494549	0.05288655631812677	0	0	0	0.2951150585385547	0.23446893787575152	0.7655310621242485	0.3837942746239689	0.3823386705482775	0.017467248908296942	0.18534691897137312	0.03105288694808339	75375
